"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTSB__708",1.66020721529033,28.2099023540198,10.206793071833,1.42439868201943e-08,8.61761202621752e-07,9.95084509718692
"PRKCA__827",-3.10172327815438,24.7253329134613,-9.94401813999354,2.07420543927284e-08,1.22097822884763e-06,9.56886304286201
"HEXB__704",1.49059460999736,24.407040931684,9.70487583946451,2.93867488949691e-08,1.68432471298007e-06,9.21443903653115
"FKBP1A__1297",0.900972301547419,28.827063275675,9.65763099813532,3.15035542917803e-08,1.72974003772625e-06,9.14363927759825
"NAMPT__1058",1.27377227311119,26.033063556508,9.65197515089766,3.17674938058081e-08,1.72974003772625e-06,9.13514617789734
"PDLIM4__1129",3.39730362628071,25.6116321114533,9.42397901857015,4.45988187612627e-08,2.36917627468366e-06,8.78964820490449
"ASPH__1412",1.40612173041354,24.1546969142794,9.38729831971266,4.71262219904276e-08,2.38983578350736e-06,8.73348856460306
"ITGA2__828",2.82199011627355,25.7946333032652,9.38650876711464,4.71822491693373e-08,2.38983578350736e-06,8.73227796105543
"G6PD__770",0.866825080983102,26.6970451232385,9.32866083721033,5.14835436582581e-08,2.52006755340317e-06,8.64337787910584
"DHRS3__580",3.17633854411399,24.410771570103,9.32120051866263,5.20675114339497e-08,2.52006755340317e-06,8.63188370505266
"PPIH__506",-0.630321872948883,25.1027930038112,-9.30411650650339,5.34311320606371e-08,2.52984794843625e-06,8.60553700222331
"SQSTM1__1450",2.82294680613874,24.9063826242189,9.23499895695715,5.93424302260424e-08,2.71664669442431e-06,8.49858552616311
"NASP__1096",-0.942797292302998,26.8876435145132,-9.22917424392226,5.98710015300124e-08,2.71664669442431e-06,8.48954604265361
"LMAN1__1095",0.80819321875396,26.7609257912083,9.08573086958772,7.45749861876272e-08,3.31478203911535e-06,8.26562964024718
"GPX1__17",-0.737024368180816,25.0344308912257,-9.01027458293094,8.37876833881638e-08,3.64979148838841e-06,8.14682912453026
"P4HB__698",0.767987059665913,28.7191115588057,8.94243556128075,9.30909345350929e-08,3.94082422332099e-06,8.03942050950332
"ARHGDIB__1158",2.8925311858959,24.8692515177732,8.93559324328895,9.4087630676167e-08,3.94082422332099e-06,8.02855543373132
"CAST__85",0.739896028693313,24.8642680281727,8.85405127414462,1.06865298973199e-07,4.39155888987974e-06,7.89862360748829
"PRDX4__1430",0.658427540501222,26.4158496107276,8.75890436981366,1.24108695861901e-07,4.97544101608352e-06,7.7459594358319
"MCM3__903",-1.07904909727709,25.6729507828238,-8.75112252545404,1.25642449901099e-07,4.97544101608352e-06,7.73342292541517
